Age,Height,Weight,FAVC,FCVC,NCP,SCC,SMOKE,CH2O,family_history_with_overweight,FAF,TUE,Gender_Male,CALC_Frequently,CALC_Sometimes,CALC_no,CAEC_Frequently,CAEC_Sometimes,CAEC_no,MTRANS_Bike,MTRANS_Motorbike,MTRANS_Public_Transportation,MTRANS_Walking
29.0,1.7,78.0,1,809,477,0,0,0,1,1071,840,False,True,False,False,False,True,False,False,False,False,False
25.0,1.63,93.0,0,809,634,0,0,0,0,1071,0,False,False,False,True,False,False,False,False,False,True,False
20.0,1.61,64.0,0,809,477,1,0,549,1,0,840,False,True,False,False,False,False,False,False,False,True,False
55.0,1.78,84.0,0,809,634,1,0,1267,1,1189,0,True,True,False,False,True,False,False,False,False,False,True
20.0,1.6,57.0,0,809,477,0,0,549,0,589,0,False,False,False,True,False,False,False,False,False,False,True
24.0,1.6,48.0,1,809,477,0,0,549,0,1071,0,False,False,False,True,False,True,False,False,False,True,False
26.0,1.7,70.0,0,809,0,0,0,549,1,1071,0,True,True,False,False,True,False,False,False,False,True,False
23.0,1.66,60.0,0,170,477,0,0,549,1,1189,0,False,False,True,False,False,True,False,False,False,True,False
21.0,1.52,42.0,0,809,0,0,0,0,0,0,0,False,False,True,False,True,False,False,False,False,True,False
21.0,1.52,42.0,0,809,0,0,0,0,0,0,0,False,False,True,False,True,False,False,False,False,True,False
23.0,1.72,70.0,0,170,477,0,0,549,0,1189,840,True,True,False,False,False,True,False,False,False,True,False
21.0,1.69,63.0,1,809,0,0,0,0,0,0,0,False,False,True,False,False,True,False,False,False,True,False
22.0,1.7,66.4,0,170,477,0,0,549,1,0,0,True,False,False,True,True,False,False,False,False,True,False
21.0,1.55,57.0,1,170,634,1,0,549,0,1071,0,False,False,True,False,True,False,False,False,False,False,False
22.0,1.65,58.0,1,809,634,0,0,549,1,589,0,False,False,True,False,True,False,False,False,False,True,False
38.0,1.56,80.0,1,170,477,0,0,549,1,0,0,False,False,True,False,False,True,False,False,False,False,False
25.0,1.57,55.0,1,170,0,0,0,549,0,1071,0,False,False,True,False,False,True,False,False,False,True,False
25.0,1.57,55.0,1,170,0,0,0,549,0,1071,0,False,False,True,False,False,True,False,False,False,True,False
22.0,1.88,90.0,1,170,477,0,0,0,1,0,840,True,False,True,False,False,False,False,False,False,False,False
22.0,1.75,95.0,0,170,477,0,0,1267,1,1189,1128,True,False,False,True,False,True,False,False,False,False,True
21.0,1.65,88.0,1,809,0,0,0,1267,1,1071,840,False,False,False,True,False,True,False,False,False,True,False
21.0,1.75,75.0,1,809,477,0,0,549,1,0,840,True,False,True,False,False,True,False,False,False,True,False
22.0,1.58,58.0,1,170,0,0,0,0,1,0,0,False,False,False,True,False,True,False,False,False,True,False
18.0,1.56,51.0,1,170,634,0,0,549,1,589,0,False,False,True,False,True,False,False,False,False,True,False
22.0,1.5,49.0,0,170,0,0,0,549,1,1189,0,False,False,False,True,False,True,False,False,False,False,True
19.0,1.61,62.0,1,809,0,0,0,549,1,589,0,False,True,False,False,True,False,False,False,False,True,False
17.0,1.75,57.0,1,809,477,0,0,549,1,0,840,False,False,False,True,True,False,False,False,False,True,False
15.0,1.65,86.0,1,809,477,0,0,0,1,1189,1128,False,False,False,True,False,True,False,False,False,False,True
17.0,1.7,85.0,0,170,477,0,0,549,1,589,840,False,False,False,True,True,False,False,False,False,True,False
23.0,1.62,53.0,1,170,477,0,0,549,1,589,840,True,False,True,False,False,True,False,False,False,True,False
19.0,1.63,76.0,0,809,477,0,1,1267,1,1071,840,False,False,True,False,True,False,False,False,False,False,False
23.0,1.67,75.0,1,170,477,0,1,549,1,0,1128,False,False,False,True,True,False,False,False,False,False,True
23.0,1.87,95.0,1,0,477,0,0,549,1,0,1128,True,True,False,False,True,False,False,False,False,True,False
21.0,1.75,50.0,0,809,634,0,0,0,1,589,0,True,False,False,True,True,False,False,False,False,False,True
24.0,1.66,67.0,1,809,0,0,0,549,1,589,0,True,False,False,True,False,True,False,False,False,True,False
23.0,1.76,90.0,1,809,477,0,0,0,0,0,0,True,False,False,True,False,True,False,False,False,True,False
18.0,1.75,80.0,1,170,477,0,0,549,1,0,0,True,True,False,False,False,False,False,False,False,True,False
19.0,1.67,68.0,1,170,477,0,0,549,0,589,0,True,False,True,False,False,True,False,False,False,True,False
19.0,1.65,61.0,1,809,0,1,0,1267,0,589,0,False,False,True,False,False,True,False,False,False,True,False
20.0,1.72,70.0,1,809,477,0,0,0,1,0,0,True,False,True,False,True,False,False,False,False,True,False
27.0,1.7,78.0,1,809,477,0,0,1267,0,589,840,True,True,False,False,False,True,False,False,False,True,False
20.0,1.58,53.0,1,170,634,0,0,549,1,589,840,False,False,False,True,True,False,False,False,False,True,False
23.0,1.62,58.0,0,170,477,0,0,0,0,589,0,True,False,False,True,False,True,False,False,False,True,False
19.0,1.65,56.0,1,809,477,1,1,1267,1,589,1128,False,True,False,False,True,False,False,False,False,True,False
61.0,1.65,66.0,1,809,477,0,0,549,0,589,840,False,True,False,False,False,False,False,False,False,True,False
30.0,1.77,109.0,1,809,477,0,0,0,1,1071,0,True,False,True,False,False,True,False,False,False,False,False
24.0,1.7,75.0,1,170,477,0,0,549,1,589,0,True,False,True,False,False,True,False,False,False,False,False
25.0,1.79,72.0,1,170,477,0,0,549,1,589,840,True,False,True,False,False,True,False,False,False,True,False
44.0,1.6,80.0,0,170,477,0,1,1267,1,0,0,True,False,False,True,False,True,False,False,True,False,False
31.0,1.76,75.0,0,809,477,1,0,1267,1,1189,0,True,False,False,True,False,False,False,True,False,False,False
25.0,1.7,68.0,1,170,477,0,0,549,0,0,840,True,False,False,True,True,False,False,False,False,True,False
23.0,1.89,65.0,1,809,477,0,0,1267,1,589,840,True,False,True,False,True,False,False,False,False,True,False
25.0,1.87,66.0,1,809,477,0,0,549,0,1071,0,True,True,False,False,False,False,False,False,False,True,False
23.0,1.74,93.5,1,170,477,0,1,0,0,589,840,True,True,False,False,True,False,False,False,False,False,False
34.0,1.68,75.0,1,809,0,0,0,0,0,0,0,False,False,True,False,False,True,False,False,False,False,False
22.0,1.61,67.0,0,170,634,1,0,1267,1,1071,1128,True,False,True,False,False,True,False,False,False,True,False
21.0,1.62,70.0,1,170,0,0,0,1267,0,589,0,True,False,True,False,False,False,True,False,False,True,False
24.0,1.56,51.0,0,809,477,0,0,549,0,1071,1128,False,True,False,False,True,False,False,False,False,True,False
36.0,1.63,80.0,0,809,477,0,0,0,1,0,0,False,False,True,False,False,True,False,False,False,False,False
27.0,1.6,61.0,1,809,477,0,0,549,0,0,0,False,False,True,False,False,False,False,False,False,False,False
32.0,1.67,90.0,1,809,0,0,0,549,1,1071,0,False,False,True,False,False,True,False,False,False,False,False
25.0,1.78,78.0,1,170,0,0,0,549,1,1071,840,True,False,True,False,False,True,False,False,False,True,False
30.0,1.62,59.0,1,809,477,0,0,549,1,1071,0,False,False,True,False,False,True,False,False,False,False,False
38.0,1.5,60.0,1,170,0,0,1,549,1,0,0,False,False,True,False,False,False,False,False,False,False,False
34.0,1.69,84.0,0,170,477,0,0,1267,1,1071,0,True,False,False,True,False,True,False,False,False,False,False
22.0,1.74,94.0,1,170,477,0,0,549,1,0,0,True,False,True,False,False,True,False,False,False,True,False
31.0,1.68,63.0,1,809,0,0,0,549,1,589,840,False,False,True,False,True,False,False,False,False,False,False
35.0,1.53,45.0,0,809,477,0,0,0,1,0,840,False,False,False,True,True,False,False,False,False,False,False
21.0,1.67,60.0,1,170,477,0,0,549,1,1071,840,True,False,True,False,True,False,False,False,False,True,False
40.0,1.55,62.0,0,809,477,0,0,1267,1,0,0,False,False,True,False,False,True,False,False,False,False,False
27.0,1.64,78.0,1,170,0,0,0,549,1,0,0,True,True,False,False,False,True,False,False,False,False,False
20.0,1.83,72.0,0,809,477,0,1,0,1,1071,840,True,False,True,False,False,True,False,False,False,True,False
55.0,1.65,80.0,1,170,477,0,0,549,0,589,0,True,False,False,True,False,True,False,False,False,False,False
21.0,1.63,60.0,1,809,477,0,1,549,1,1071,0,False,False,True,False,False,False,False,False,False,True,False
25.0,1.89,75.0,0,809,477,1,0,549,0,1189,0,True,False,False,True,True,False,False,False,False,True,False
35.0,1.77,85.0,0,809,477,0,0,1267,1,1071,840,True,False,True,False,True,False,False,False,False,False,False
30.0,1.92,130.0,0,170,477,0,1,0,1,589,0,True,False,True,False,False,True,False,False,False,True,False
29.0,1.74,72.0,0,809,477,0,0,549,1,0,0,False,False,True,False,False,False,False,False,False,False,False
20.0,1.65,80.0,0,170,477,0,0,549,1,589,1128,True,False,False,True,False,True,False,False,False,False,True
22.0,1.73,79.0,1,170,0,0,0,549,1,589,0,False,False,True,False,False,True,False,False,False,True,False
45.0,1.63,77.0,1,170,477,0,0,0,1,0,0,False,False,False,True,True,False,False,False,False,False,False
22.0,1.72,82.0,1,170,0,0,0,549,0,1071,840,True,False,True,False,False,True,False,False,False,True,False
18.0,1.6,58.0,1,170,477,0,0,549,1,589,0,True,False,True,False,True,False,False,False,False,True,False
23.0,1.65,59.0,0,809,0,0,0,549,0,589,1128,False,False,True,False,False,True,False,False,False,True,False
18.0,1.74,64.0,0,809,477,1,0,549,0,0,840,True,False,False,True,False,True,False,False,False,True,False
21.0,1.62,70.0,1,170,0,0,0,1267,0,589,0,True,False,True,False,False,False,True,False,False,True,False
38.0,1.64,59.8,1,170,477,0,0,549,1,1071,0,False,False,False,True,False,True,False,False,False,True,False
18.0,1.57,48.0,1,809,0,0,0,0,1,589,0,False,False,False,True,False,False,False,False,False,True,False
22.0,1.84,84.0,1,809,477,1,0,549,1,1189,0,True,False,True,False,True,False,False,False,False,True,False
26.0,1.91,84.0,1,809,477,0,1,549,1,1071,1128,True,True,False,False,True,False,False,False,False,True,False
21.0,1.62,70.0,1,170,0,0,0,1267,0,589,0,True,False,True,False,False,False,True,False,False,True,False
18.0,1.58,48.0,1,170,477,0,0,549,0,589,0,False,False,False,True,False,True,False,False,False,True,False
23.0,1.68,67.0,1,170,477,0,0,0,1,0,0,False,False,True,False,True,False,False,False,False,True,False
22.0,1.68,52.0,1,809,477,0,0,549,0,0,840,False,False,False,True,True,False,False,False,False,True,False
23.0,1.48,60.0,1,170,0,0,1,0,1,0,0,False,False,True,False,False,True,False,False,False,True,False
21.0,1.62,70.0,1,170,0,0,0,1267,0,589,0,True,False,True,False,False,False,True,False,False,True,False
31.0,1.62,68.0,0,809,477,0,0,549,0,589,0,False,False,True,False,False,True,False,False,False,False,False
39.0,1.78,96.0,0,170,477,0,0,1267,1,589,0,True,True,False,False,False,True,False,False,False,False,False
25.0,1.78,98.0,0,170,477,0,0,1267,1,1189,1128,True,False,False,True,False,True,False,False,False,True,False
35.0,1.78,105.0,1,809,0,0,0,1267,1,1189,840,True,True,False,False,False,False,True,False,False,False,False
33.0,1.63,62.0,1,170,477,0,0,549,1,589,840,False,False,False,True,False,True,False,False,False,True,False
20.0,1.6,56.0,1,170,477,0,0,549,0,589,0,True,False,True,False,False,True,False,False,False,True,False
26.0,1.75,80.0,1,809,0,1,1,549,1,1071,0,True,False,True,False,True,False,False,False,False,True,False
20.0,1.83,85.0,0,809,477,1,0,1267,1,1189,0,True,False,True,False,False,True,False,False,False,False,False
20.0,1.78,68.0,0,170,0,1,0,1267,0,1071,840,True,False,False,True,True,False,False,False,False,True,False
23.0,1.6,83.0,1,809,477,0,0,1267,1,1189,0,False,False,False,True,True,False,False,False,False,True,False
19.0,1.8,85.0,1,809,477,0,0,549,1,589,840,True,False,True,False,False,True,False,False,False,False,True
22.0,1.75,74.0,0,170,477,0,0,549,1,589,1128,True,False,True,False,False,True,False,True,False,False,False
41.0,1.75,118.0,1,170,477,0,0,549,1,0,0,True,False,True,False,False,True,False,True,False,False,False
18.0,1.59,40.0,1,170,0,0,0,0,1,0,1128,False,False,False,True,True,False,False,False,False,True,False
23.0,1.66,60.0,1,170,0,0,0,0,1,589,840,False,False,True,False,False,True,False,False,False,True,False
23.0,1.63,83.0,0,809,0,0,1,1267,1,589,1128,False,False,True,False,False,True,False,False,False,True,False
41.0,1.54,80.0,1,170,477,0,0,0,1,0,0,False,False,True,False,False,False,False,False,False,False,False
26.0,1.56,102.0,1,809,477,0,1,0,1,0,840,False,False,True,False,False,True,False,False,False,True,False
29.0,1.69,90.0,0,170,477,0,0,1267,1,589,0,True,False,True,False,False,True,False,False,False,False,False
27.0,1.83,71.0,1,170,477,0,0,549,1,1189,1128,True,False,False,True,False,True,False,False,False,False,False
23.0,1.6,78.0,1,170,0,0,1,549,1,589,0,False,True,False,False,False,True,False,False,False,True,False
19.0,1.75,100.0,1,170,477,0,0,549,1,1071,0,True,False,False,True,True,False,False,False,False,True,False
30.0,1.75,73.0,0,170,477,1,0,549,1,589,0,True,False,True,False,False,False,True,False,False,False,True
22.0,1.69,65.0,1,170,477,0,0,549,1,589,840,False,False,True,False,False,True,False,False,False,True,False
22.0,1.69,65.0,1,170,477,0,0,549,1,589,840,False,False,True,False,False,True,False,False,False,True,False
20.0,1.8,114.0,1,170,477,0,0,549,1,0,840,True,False,False,True,True,False,False,False,False,True,False
21.0,1.63,51.0,1,170,0,0,0,0,0,589,840,False,False,False,True,False,True,False,False,False,True,False
24.0,1.5,63.0,0,170,0,0,0,549,1,0,0,False,False,False,True,False,True,False,False,False,True,False
21.0,1.8,62.0,1,809,477,0,0,549,1,589,0,True,False,False,True,False,True,False,False,False,True,False
21.0,1.65,53.0,1,170,477,0,0,549,1,589,0,True,False,True,False,False,True,False,False,False,True,False
21.0,1.68,70.0,1,809,477,0,0,1267,1,0,1128,True,False,True,False,False,True,False,False,False,True,False
23.0,1.6,63.0,0,809,477,0,0,549,1,1189,0,False,False,True,False,True,False,False,False,False,False,True
21.0,1.71,75.0,0,170,477,1,0,1267,0,1189,840,True,True,False,False,True,False,False,False,False,False,False
21.0,1.5,42.3,0,0,0,0,0,549,1,1189,0,False,False,False,True,False,True,False,False,False,True,False
21.0,1.6,68.0,1,170,477,0,0,1267,1,589,0,False,False,True,False,False,True,False,False,False,True,False
21.0,1.75,78.0,0,170,477,1,0,549,1,0,1128,False,True,False,False,True,False,False,False,False,True,False
23.0,1.72,82.0,1,170,0,0,0,0,1,589,840,True,False,True,False,False,True,False,False,False,True,False
21.0,1.72,66.5,1,809,634,0,0,1267,1,0,1128,False,False,False,True,False,False,False,False,False,True,False
22.0,1.61,63.0,1,809,477,0,0,1267,1,589,0,False,False,False,True,True,False,False,False,False,True,False
23.0,1.63,82.0,1,170,0,0,0,549,1,0,0,False,False,False,True,False,True,False,False,False,True,False
25.0,1.83,121.0,0,809,477,0,0,1267,1,1071,0,True,False,True,False,False,True,False,False,False,False,True
20.0,1.6,50.0,1,170,477,0,0,0,0,0,840,False,False,False,True,False,True,False,False,False,False,False
24.0,1.62,58.0,1,809,477,0,0,549,0,589,840,False,False,True,False,False,True,False,False,False,True,False
40.0,1.68,80.0,0,809,477,0,0,1267,0,0,0,False,False,False,True,False,True,False,False,False,False,False
32.0,1.75,120.0,0,809,477,0,0,1267,1,0,1128,True,False,False,True,False,True,False,False,False,False,False
20.0,1.9,91.0,1,809,634,0,0,1267,1,1071,0,True,False,True,False,False,True,False,False,False,False,True
21.0,1.63,66.0,1,809,0,0,1,1267,1,0,0,False,False,True,False,False,True,False,False,False,True,False
51.0,1.59,50.0,0,809,477,1,1,1267,1,1071,0,False,False,False,True,False,True,False,False,False,True,False
34.0,1.68,77.0,0,809,0,0,0,549,1,589,0,False,False,True,False,False,True,False,False,False,False,False
19.0,1.59,49.0,1,170,0,0,0,549,1,1071,0,False,False,False,True,False,False,True,False,False,True,False
19.0,1.69,70.0,0,170,0,0,0,549,1,1071,0,False,False,False,True,False,False,True,False,False,True,False
21.0,1.66,59.0,1,0,477,1,0,549,0,1189,0,False,False,False,True,False,False,False,False,False,False,False
19.0,1.64,53.0,1,809,477,0,0,0,1,589,840,False,False,False,True,False,True,False,False,False,True,False
20.0,1.62,53.0,1,809,0,0,0,1267,0,589,840,False,False,False,True,False,True,False,False,False,True,False
19.0,1.7,64.0,1,809,477,1,0,1267,1,1189,840,False,False,False,True,False,False,True,False,False,True,False
17.0,1.63,65.0,1,170,0,0,0,1267,0,589,840,False,False,False,True,False,True,False,False,False,True,False
22.0,1.6,66.0,1,809,477,0,0,549,0,1189,0,True,False,False,True,False,True,False,True,False,False,False
20.0,1.63,64.0,1,0,477,0,0,549,1,0,1128,False,False,False,True,False,False,False,False,False,False,False
33.0,1.85,99.0,1,170,477,0,1,1267,1,589,0,True,False,True,False,False,True,False,False,False,False,False
21.0,1.54,49.0,0,170,0,1,0,549,1,1071,0,False,False,True,False,False,True,False,False,False,True,False
20.0,1.64,49.0,0,809,477,0,1,549,0,1071,840,False,False,True,False,False,True,False,False,False,False,False
20.0,1.57,60.0,1,809,477,0,0,1267,0,0,840,False,False,True,False,False,True,False,False,False,True,False
20.0,1.62,52.0,1,809,477,0,0,0,0,1189,840,False,False,False,True,True,False,False,False,False,False,False
21.0,1.72,72.0,1,809,477,1,0,1267,1,1189,0,True,False,True,False,False,False,False,False,False,False,False
21.0,1.76,78.0,1,809,0,0,0,549,1,1189,0,True,False,True,False,False,True,False,False,False,False,True
20.0,1.65,75.0,1,809,0,0,0,549,1,589,840,False,False,False,True,False,True,False,False,False,True,False
20.0,1.67,78.0,0,170,0,0,0,1267,1,0,0,True,True,False,False,False,True,False,False,False,False,False
56.0,1.79,90.0,0,170,477,0,1,549,1,589,0,True,True,False,False,False,True,False,False,False,False,False
26.0,1.59,47.0,1,170,0,0,0,549,1,0,1128,False,False,True,False,False,True,False,False,False,True,False
22.0,1.64,56.0,0,809,477,0,0,549,1,0,0,False,False,False,True,False,True,False,False,False,True,False
19.0,1.78,81.0,0,0,477,0,0,549,1,1189,0,True,False,False,True,False,True,False,True,False,False,False
18.0,1.75,85.0,0,170,477,0,0,1267,1,589,0,True,False,True,False,False,True,False,False,False,True,False
19.0,1.85,115.0,0,170,477,1,0,1267,0,589,1128,True,False,False,True,False,True,False,False,False,True,False
18.0,1.7,80.0,0,809,0,0,0,0,0,589,0,True,False,False,True,False,True,False,False,False,True,False
